roll_no,grade,name,points,school,section,friends,updated_at
1,11,Bell Walsh,16,School 1,Section Section 3,"212, 311, 419, 573, 606, 879",2023-07-25 16:17:50.671137+00:00
2,12,Tom Jacobs,86,School 1,Section Section 2,"315, 395, 531, 710, 741",2023-06-25 02:25:23.743424+00:00
3,9,Wendy Mohr,89,School 1,Section Section 3,"48, 80, 183, 606, 731, 755, 778, 858, 980",2023-07-17 05:03:09.822379+00:00
4,10,Pat Hirthe,4,School 1,Section Section 4,"219, 363, 416, 503, 600",2023-06-02 09:43:15.880427+00:00
5,11,Vince Fay,31,School 1,Section Section 3,"401, 687, 713, 745, 845",2023-06-11 03:52:09.973297+00:00
6,10,Nova Haag,61,School 1,Section Section 2,"22, 257, 343, 347, 387, 396, 604, 900",2023-06-04 00:41:36.202009+00:00
7,9,Dena Purdy,26,School 1,Section Section 4,"723, 927, 931, 957",2023-06-26 12:44:54.267069+00:00
8,10,Fern Moen,82,School 1,Section Section 1,"97, 259, 312, 578",2023-07-19 16:38:26.285519+00:00
9,11,Dale Rohan,60,School 1,Section Section 2,"77, 238, 388, 430, 614, 621, 794, 920, 933",2023-06-09 23:44:04.478844+00:00
10,9,Nova Haag,4,School 1,Section Section 1,"102, 235, 254, 372, 493, 544, 556, 619",2023-07-12 02:04:09.605901+00:00
11,10,Rae Mills,15,School 1,Section Section 1,"219, 316, 364, 374, 415, 504, 597, 843, 903, 914, 952",2023-07-12 03:34:13.834533+00:00
12,10,Dixie Beer,70,School 1,Section Section 1,"513, 671, 706, 937",2023-05-26 01:45:13.119682+00:00
13,10,Kale Moen,59,School 1,Section Section 2,"113, 154, 295, 402, 414, 501, 576, 626, 788, 847, 857, 898",2023-07-18 22:39:54.492531+00:00
14,9,Dena Purdy,12,School 1,Section Section 4,"140, 144, 174, 264, 532, 791",2023-06-17 22:45:06.829680+00:00
15,12,Kira Walsh,9,School 1,Section Section 4,"140, 232, 562, 886",2023-07-14 22:03:34.954410+00:00
16,11,Dovie Jast,1,School 1,Section Section 3,"380, 700, 707, 973",2023-07-17 03:48:28.183563+00:00
17,10,Velva Lind,68,School 1,Section Section 3,986,2023-05-28 21:54:37.412528+00:00
18,11,Dean Lang,6,School 1,Section Section 3,"90, 205, 555",2023-07-08 04:43:43.538706+00:00
19,9,Nova Haag,42,School 1,Section Section 2,"624, 985, 1000",2023-07-25 05:01:33.718019+00:00
20,10,Ana Metz,16,School 1,Section Section 1,"80, 392, 539, 553, 696, 764, 869",2023-07-13 05:17:19.893860+00:00
21,9,Era Heaney,0,School 1,Section Section 2,"275, 288, 469, 858, 873",2023-06-17 11:49:19.021572+00:00
22,11,Erna Huels,23,School 1,Section Section 3,"6, 39, 465, 485, 504, 792, 795, 906",2023-06-18 22:08:02.033743+00:00
23,9,Jade Kihn,61,School 1,Section Section 1,"182, 435, 549, 666, 825, 847, 905",2023-07-21 11:23:40.170486+00:00
24,9,Ana Metz,50,School 1,Section Section 4,"28, 89, 128, 524, 542, 784, 828, 964",2023-07-12 03:26:54.296792+00:00
25,11,Jena Mraz,85,School 1,Section Section 1,"166, 388, 424, 461, 586",2023-06-07 10:21:58.357166+00:00
26,9,Rod Carter,85,School 1,Section Section 2,"37, 188, 253, 484",2023-06-13 15:50:34.426790+00:00
27,11,Tom Jacobs,84,School 1,Section Section 4,"48, 109, 229, 764, 812, 877, 898",2023-06-10 20:12:57.573703+00:00
28,11,Brad Walsh,8,School 1,Section Section 3,"24, 32, 126, 457, 460, 548, 668, 805, 916, 931",2023-07-05 22:30:08.643198+00:00
29,10,Jose Nolan,22,School 1,Section Section 2,"635, 672, 792, 887",2023-06-02 14:14:46.646562+00:00
30,11,Brad Walsh,89,School 1,Section Section 3,"231, 484, 661, 918",2023-07-03 13:11:22.692177+00:00
31,10,Kale Moen,7,School 1,Section Section 1,"100, 175, 313, 371, 579, 634, 818, 947",2023-06-30 02:27:11.764518+00:00
32,10,Myra Runte,5,School 1,Section Section 1,"28, 416, 515, 657, 746, 833, 969",2023-05-29 09:46:15.898951+00:00
33,10,Deja Lemke,96,School 1,Section Section 2,"178, 372, 409, 412, 469",2023-06-01 19:56:24.128809+00:00
34,10,Myra Runte,16,School 1,Section Section 4,"97, 326, 433, 962",2023-06-05 11:36:40.254378+00:00
35,11,Kacey Mohr,73,School 1,Section Section 4,"135, 830",2023-06-01 22:32:07.369336+00:00
36,11,Lilla Beer,33,School 1,Section Section 1,"199, 229, 352, 494, 535, 849, 900, 916, 981",2023-06-30 02:08:36.610313+00:00
37,11,Sim Parker,44,School 1,Section Section 2,"26, 95, 160, 184, 235, 474, 537, 772, 932, 961",2023-06-01 07:03:37.780621+00:00
38,9,Jan Little,80,School 1,Section Section 3,"52, 263, 458, 629, 839, 934",2023-06-24 13:10:48.964869+00:00
39,11,Alene Hane,64,School 1,Section Section 3,"22, 582, 664, 675, 676, 853, 993",2023-07-24 12:09:30.076948+00:00
40,11,Rod Cremin,21,School 1,Section Section 3,"164, 393, 491, 569, 709",2023-06-21 11:00:46.161216+00:00
41,10,Vada Koss,19,School 1,Section Section 1,"69, 124, 168, 358, 566, 826",2023-06-20 12:04:21.230082+00:00
42,9,Lola Purdy,26,School 1,Section Section 1,"170, 283, 513, 606",2023-07-16 08:35:23.414292+00:00
43,10,Erna Huels,36,School 1,Section Section 1,"398, 507, 580, 609",2023-07-13 23:16:33.596313+00:00
44,9,Retha Toy,14,School 1,Section Section 1,"185, 338, 376, 408, 440, 446, 473, 699, 731, 960",2023-06-05 07:42:39.666572+00:00
45,10,Wendy Mohr,97,School 1,Section Section 4,"318, 548, 694, 828",2023-06-09 09:59:21.849485+00:00
46,10,Ted Rogahn,63,School 1,Section Section 3,"150, 300, 361, 433, 656, 674, 753, 834",2023-07-22 01:11:55.078589+00:00
47,11,Sim Parker,63,School 1,Section Section 1,"73, 155, 344, 638, 652, 788",2023-06-09 06:15:41.204171+00:00
48,12,Wendy Mohr,17,School 1,Section Section 3,"3, 27, 154, 587, 617, 751",2023-07-19 23:52:26.229012+00:00
49,10,Brad Walsh,78,School 1,Section Section 1,"106, 370, 467, 975, 980",2023-07-07 15:33:31.355421+00:00
50,10,Rod Cremin,11,School 1,Section Section 1,"593, 867, 928",2023-06-09 15:10:05.481882+00:00
51,9,Gabe Stamm,39,School 1,Section Section 1,"164, 800, 842",2023-07-03 20:37:21.608305+00:00
52,10,Dora O'Kon,28,School 1,Section Section 4,"38, 261, 307, 654, 665, 725, 789, 907",2023-06-07 07:10:40.677962+00:00
53,9,Franz Huel,97,School 1,Section Section 3,"207, 278, 570, 616, 689, 910",2023-06-06 01:34:35.698891+00:00
54,10,Wade Ebert,44,School 1,Section Section 4,"65, 209, 273, 280, 311, 505, 879, 882",2023-06-13 23:26:58.782827+00:00
55,12,Tina Smith,1,School 1,Section Section 4,"88, 114, 294, 682, 736, 758, 790, 859",2023-06-27 22:33:30.807583+00:00
56,9,Roel Jones,85,School 1,Section Section 3,"112, 315, 431, 562, 776, 781, 901",2023-07-01 22:10:29.934490+00:00
57,9,Pat Hirthe,47,School 1,Section Section 2,"109, 138, 243, 253, 290, 311, 517, 556, 676, 767",2023-06-28 16:44:03.161950+00:00
58,11,Jena Mraz,6,School 1,Section Section 3,"581, 715",2023-06-04 17:30:50.288543+00:00
59,12,Gabe Stamm,41,School 1,Section Section 1,"76, 82, 155, 163, 221",2023-05-28 23:51:28.414253+00:00
60,10,Era Heaney,2,School 1,Section Section 3,"329, 486, 880, 887, 889",2023-06-15 04:35:54.588085+00:00
61,10,Mia Mraz,39,School 1,Section Section 3,"526, 859, 896, 977",2023-07-11 22:06:02.713968+00:00
62,9,Lia Ferry,45,School 1,Section Section 2,"479, 507, 594, 726",2023-07-19 04:41:28.716633+00:00
63,9,Mavis Jast,38,School 1,Section Section 4,"449, 466, 635",2023-07-09 02:56:06.719087+00:00
64,12,Lilla Beer,84,School 1,Section Section 3,"212, 365, 396, 409, 440, 526, 548, 716, 774, 807",2023-05-30 06:28:09.887695+00:00
65,11,Jena Mraz,12,School 1,Section Section 2,"54, 356, 372, 638, 853",2023-06-29 04:13:43.070895+00:00
66,10,Dean Lang,90,School 1,Section Section 1,"354, 492, 642, 764, 819, 875, 985",2023-07-04 22:00:31.140285+00:00
67,10,Buck Auer,1,School 1,Section Section 4,"212, 934, 950, 977",2023-07-01 13:14:15.266673+00:00
68,12,Ottis Torp,75,School 1,Section Section 1,"121, 124, 169, 198, 277, 326, 357, 548, 865",2023-06-30 03:55:10.451499+00:00
69,12,Erna Huels,83,School 1,Section Section 3,"41, 182, 292, 412, 492, 622, 754",2023-05-26 14:50:13.621917+00:00
70,10,Aylin Kihn,57,School 1,Section Section 1,"176, 183, 624, 775, 881",2023-05-28 17:01:42.806048+00:00
71,9,Avery Batz,44,School 1,Section Section 1,"119, 553, 717, 774, 897",2023-06-07 01:37:58.931108+00:00
72,12,Fleta Batz,46,School 1,Section Section 1,"141, 240, 423, 573, 631, 952",2023-06-16 02:12:45.160663+00:00
73,9,Rene Smith,39,School 1,Section Section 1,"47, 656, 864, 903",2023-06-13 10:04:02.181015+00:00
74,11,Clay Cole,77,School 1,Section Section 4,"83, 302, 510, 611, 998",2023-06-25 17:36:08.414969+00:00
75,12,Mavis Jast,47,School 1,Section Section 4,328,2023-06-10 15:53:33.438810+00:00
76,11,Ari Feeney,56,School 1,Section Section 2,"59, 136",2023-06-18 01:58:32.553817+00:00
77,11,Guy Ward,13,School 1,Section Section 1,"9, 515",2023-07-17 16:48:35.737917+00:00
78,10,Mya Rath,37,School 1,Section Section 1,"226, 449, 452, 685, 753",2023-06-16 17:25:05.021559+00:00
79,10,Rae Mills,71,School 1,Section Section 4,"108, 252, 367, 821, 984",2023-06-20 20:13:31.091703+00:00
80,12,Vidal King,61,School 1,Section Section 2,"3, 20, 91, 214, 590, 695, 882",2023-06-09 01:56:58.114694+00:00
